Sample	location	region
SJ054M-01	San Joaquin River	Central Valley
SJ054M-02	San Joaquin River	Central Valley
SJ054M-03	San Joaquin River	Central Valley
SJ054M-04	San Joaquin River	Central Valley
SJ054M-05	San Joaquin River	Central Valley
SJ054M-06	San Joaquin River	Central Valley
SJ054M-07	San Joaquin River	Central Valley
SJ054M-08	San Joaquin River	Central Valley
SJ054M-09	San Joaquin River	Central Valley
SJ054M-10	San Joaquin River	Central Valley
SJ054M-11	San Joaquin River	Central Valley
SJ054M-12	San Joaquin River	Central Valley
SJ054M-13	San Joaquin River	Central Valley
SJ054M-14	San Joaquin River	Central Valley
SJ054M-15	San Joaquin River	Central Valley
SJ054M-16	San Joaquin River	Central Valley
SJ054M-17	San Joaquin River	Central Valley
SJ054M-18	San Joaquin River	Central Valley
SJ054M-19	San Joaquin River	Central Valley
SJ054M-20	San Joaquin River	Central Valley
SJ074W-01	San Joaquin River	Central Valley
SJ074W-02	San Joaquin River	Central Valley
SJ074W-03	San Joaquin River	Central Valley
SJ074W-04	San Joaquin River	Central Valley
SJ074W-05	San Joaquin River	Central Valley
SJ074W-06	San Joaquin River	Central Valley
SJ074W-07	San Joaquin River	Central Valley
SJ074W-08	San Joaquin River	Central Valley
SJ074W-09	San Joaquin River	Central Valley
SJ074W-10	San Joaquin River	Central Valley
SJ074W-11	San Joaquin River	Central Valley
SJ074W-12	San Joaquin River	Central Valley
SJ074W-13	San Joaquin River	Central Valley
SJ074W-14	San Joaquin River	Central Valley
SJ074W-15	San Joaquin River	Central Valley
SJ074W-16	San Joaquin River	Central Valley
SJ074W-17	San Joaquin River	Central Valley
SJ074W-18	San Joaquin River	Central Valley
SJ074W-19	San Joaquin River	Central Valley
SJ074W-20	San Joaquin River	Central Valley
SJ074W-21	San Joaquin River	Central Valley
SJ074W-22	San Joaquin River	Central Valley
SJ074W-23	San Joaquin River	Central Valley
SJ074W-24	San Joaquin River	Central Valley
SJ074W-25	San Joaquin River	Central Valley
SJ074W-26	San Joaquin River	Central Valley
SJ074W-27	San Joaquin River	Central Valley
SJ074W-28	San Joaquin River	Central Valley
SJ074W-29	San Joaquin River	Central Valley
SJ074W-30	San Joaquin River	Central Valley
SJ074W-31	San Joaquin River	Central Valley
SJ074W-32	San Joaquin River	Central Valley
SJ074W-33	San Joaquin River	Central Valley
SJ074W-34	San Joaquin River	Central Valley
SJ074W-35	San Joaquin River	Central Valley
SJ074W-36	San Joaquin River	Central Valley
SJ074W-37	San Joaquin River	Central Valley
SJ074W-38	San Joaquin River	Central Valley
SJ074W-39	San Joaquin River	Central Valley
SJ074W-40	San Joaquin River	Central Valley
SJ074W-41	San Joaquin River	Central Valley
SJ074W-42	San Joaquin River	Central Valley
SJ074W-43	San Joaquin River	Central Valley
SJ051E-01	San Joaquin River	Central Valley
SJ051E-02	San Joaquin River	Central Valley
SJ051E-03	San Joaquin River	Central Valley
SJ051E-04	San Joaquin River	Central Valley
SJ051E-05	San Joaquin River	Central Valley
SJ051E-06	San Joaquin River	Central Valley
SJ051E-07	San Joaquin River	Central Valley
SJ051E-08	San Joaquin River	Central Valley
SJ051E-09	San Joaquin River	Central Valley
SJ051E-10	San Joaquin River	Central Valley
SJ051E-11	San Joaquin River	Central Valley
SJ051E-13	San Joaquin River	Central Valley
SJ051E-14	San Joaquin River	Central Valley
SJ051E-15	San Joaquin River	Central Valley
SJ051E-16	San Joaquin River	Central Valley
SJ051E-17	San Joaquin River	Central Valley
SJ051E-18	San Joaquin River	Central Valley
SJ051E-19	San Joaquin River	Central Valley
SJ051E-20	San Joaquin River	Central Valley
SJ051E-21	San Joaquin River	Central Valley
SJ051E-22	San Joaquin River	Central Valley
SJ051E-23	San Joaquin River	Central Valley
SJ051E-24	San Joaquin River	Central Valley
SJ051E-25	San Joaquin River	Central Valley
SJ051E-26	San Joaquin River	Central Valley
SJ051E-27	San Joaquin River	Central Valley
SJ051E-28	San Joaquin River	Central Valley
SJ051E-29	San Joaquin River	Central Valley
SJ051E-30	San Joaquin River	Central Valley
SJ051E-31	San Joaquin River	Central Valley
SJ051E-32	San Joaquin River	Central Valley
SJ051E-33	San Joaquin River	Central Valley
SJ051E-34	San Joaquin River	Central Valley
SJ051E-35	San Joaquin River	Central Valley
SJ051E-36	San Joaquin River	Central Valley
SJ051E-37	San Joaquin River	Central Valley
SJ051E-38	San Joaquin River	Central Valley
SJ051E-39	San Joaquin River	Central Valley
SJ051E-40	San Joaquin River	Central Valley
SJ051E-41	San Joaquin River	Central Valley
SJ051E-42	San Joaquin River	Central Valley
SJ051E-43	San Joaquin River	Central Valley
SJ051E-44	San Joaquin River	Central Valley
SJ051E-45	San Joaquin River	Central Valley
SJ051E-46	San Joaquin River	Central Valley
SJ051E-47	San Joaquin River	Central Valley
SJ051E-48	San Joaquin River	Central Valley
SJ051E-49	San Joaquin River	Central Valley
SJ051E-50	San Joaquin River	Central Valley
SJ083W-01	San Joaquin River	Central Valley
SJ083W-02	San Joaquin River	Central Valley
SJ083W-03	San Joaquin River	Central Valley
SJ083W-04	San Joaquin River	Central Valley
SJ083W-05	San Joaquin River	Central Valley
